acc,epoch,step,val_acc,val_loss
,0,12,0.9375,0.41771531105041504
,1,25,0.8999999761581421,0.2833254039287567
,2,38,0.9624999761581421,0.2143237143754959
0.9200000166893005,3,49,,
,3,51,0.9750000238418579,0.20252592861652374
,4,64,0.9624999761581421,0.18952074646949768
,5,77,0.949999988079071,0.1838700771331787
,6,90,0.9624999761581421,0.19584587216377258
0.8399999737739563,7,99,,
,7,103,0.949999988079071,0.17746202647686005
,8,116,0.9624999761581421,0.19096551835536957
,9,129,0.9624999761581421,0.1824500560760498
