acc,epoch,loss,step,val_acc,val_loss
,0,,12,0.9375,0.3902735114097595
,1,,25,0.9375,0.25142931938171387
,2,,38,0.949999988079071,0.21410758793354034
0.8799999952316284,3,0.2580487132072449,49,,
,3,,51,0.9624999761581421,0.1895521581172943
,4,,64,0.9750000238418579,0.18228685855865479
,5,,77,0.9750000238418579,0.18756555020809174
,6,,90,0.949999988079071,0.17127789556980133
0.9200000166893005,7,0.22352240979671478,99,,
,7,,103,0.9624999761581421,0.17999525368213654
,8,,116,0.949999988079071,0.16989317536354065
,9,,129,0.9624999761581421,0.17259278893470764
