acc,epoch,loss,step,val_acc,val_loss
,0,,12,0.949999988079071,0.3999611735343933
,1,,25,0.9375,0.25891536474227905
,2,,38,0.949999988079071,0.2291625738143921
0.7599999904632568,3,0.35083678364753723,49,,
,3,,51,0.9624999761581421,0.20302438735961914
,4,,64,0.9375,0.19200195372104645
,5,,77,0.9624999761581421,0.19447115063667297
,6,,90,0.9624999761581421,0.18064841628074646
0.8799999952316284,7,0.26923441886901855,99,,
,7,,103,0.949999988079071,0.1887095868587494
,8,,116,0.949999988079071,0.1785213053226471
,9,,129,0.949999988079071,0.18991169333457947
